Geography ID,Transportation Burden Pct Income,Energy Burden Pct Income
G01133965700,0.030749837,0.0553
G01133965503,0.030263974,0.0758
G01133965502,0.046643887,0.0742
G01131035200,0.0389041,0.099
G01131035100,0.036438922,0.0592
G01131034800,0.031846584,0.0622
G01131034700,0.035769842,0.1196
G01129044100,0.036877494,0.0530999999999999
G01129044000,0.03212487,0.0207
G01129043900,0.040389562,0.0242
G01127021900,0.041760294,0.0557
G01127021800,0.031615335,0.0483
G01127021600,0.044879097,0.0632
G01127021500,0.034991548,0.0594
G01127020600,0.040409427,0.0395999999999999
G01127020300,0.036433793,0.0353
G01127020200,0.03369917,0.0428
G01125012700,0.036833438,0.0411
G01125012600,0.055297275,0.0579
G01125012502,0.031273953,0.0243999999999999
G01125012404,0.026122142,0.0533999999999999
G01125012305,0.03166408,0.0312
G01125012304,0.027252069,0.039
G01125012303,0.038099974,0.0318
G01125012000,0.079404981,0.1011
G01125011901,0.032336935,0.0533
G01125011701,0.024602528,0.0655
G01125011402,0.060547714,0.0919
G01125011401,0.058912365,0.0969999999999999
G01125010803,0.04472268,0.0528
G01125010702,0.041510138,0.0421999999999999
G01125010601,0.065410554,0.0451
G01125010500,0.026761931,0.0665
G01125010407,0.024204549,0.0264
G01125010405,0.025566465,0.02
G01125010404,0.034063216,0.0521
G01125010403,0.035358223,0.0449
G01125010302,0.036187042,0.0366999999999999
G01125010301,0.034085668,0.0347
G01125010204,0.036161831,0.0292
G01125010203,0.039730235,0.0287
G01125010102,0.043418402,0.0361
G01125010101,0.026067402,0.0175
G01123962700,0.044467171,0.0464
G01123962600,0.02858122,0.0637
G01123962502,0.025799056,0.0567
G01123962501,0.02875181,0.0408
G01123962300,0.042698224,0.0461
G01123962100,0.037369423,0.0527
G01123962000,0.042949265,0.0383
G01121011900,0.029110715,0.048
G01129044200,0.048951566,0.0611
G01121011700,0.031353419,0.0421999999999999
G01121011600,0.053725895,0.0576999999999999
G01121011500,0.0396493,0.0452
G01121011400,0.039539864,0.0613999999999999
G01121011300,0.028507613,0.0466
G01121011200,0.027525182,0.0529
G01121011000,0.030618892,0.0463
G01121010600,0.053250534,0.0765
G01121010400,0.030953106,0.0565
G01121010302,0.02795358,0.0421999999999999
G01121010202,0.03997169,0.0519
G01121010201,0.04129397,0.0426
G01121010102,0.043724659,0.0486
G01119011500,0.035104162,0.0683
G01119011300,0.045269832,0.0681
G01117030800,0.038822231,0.0375999999999999
G01117030704,0.029781396,0.0508
G01117030701,0.044085245,0.0385
G01117030609,0.03000816,0.0242
G01117030604,0.027557235,0.0248
G01117030408,0.052117034,0.0565
G01117030345,0.024968945,0.0227999999999999
G01117030344,0.027790874,0.0223
G01127020700,0.04039455,0.0409
G01117030342,0.023008368,0.0178
G01117030340,0.028422712,0.0250999999999999
G01117030337,0.03401203,0.0335
G01117030334,0.028098544,0.0192
G01117030333,0.01701999,0.0183
G01117030332,0.023662489,0.0223
G01117030331,0.026821521,0.02
G01117030330,0.026073816,0.0192999999999999
G01125012503,0.025559117,0.0266999999999999
G01117030319,0.032948758,0.0403
G01125012501,0.037254379,0.0391
G01117030317,0.031453708,0.0295
G01117030315,0.034062088,0.0318
G01127020800,0.054145908,0.0548
G01117030314,0.028220005,0.026
G01117030306,0.031647359,0.0323
G01117030304,0.022488888,0.018
G01117030217,0.015648845,0.0186
G01117030216,0.027819627,0.018
G01117030103,0.038872811,0.0419
G01117030102,0.052016607,0.0454
G01115040501,0.033109216,0.0334
G01117030212,0.040275606,0.0299
G01115040402,0.04425284,0.0462
G01115040401,0.045155425,0.0466
G01115040300,0.031628509,0.0475999999999999
G01115040205,0.023463906,0.0378
G01115040201,0.043492859,0.0494
G01115040105,0.052745825,0.0412999999999999
G01115040104,0.022659451,0.034
G01113031000,0.043232922,0.0387
G01113030901,0.030467836,0.0509
G01113030800,0.025757773,0.055
G01113030700,0.037403443,0.062
G01113030300,0.025610197,0.0586
G01113030200,0.03632264,0.0868
G01111000600,0.048364356,0.05
G01111000300,0.029306048,0.0548
