id,metric,value,moe,state_id,dataset_id
109,Diabetes among adults >= 18,12,1.007142857,6,14
110,Current asthma among adults >= 18,8.7,0.923214286,6,14
111,Mental health not good for >= 14 days among adults >= 18,13.6,1.133035714,6,14
112,COPD among adults >= 18,8.9,0.545535714,23,14
113,Cancer (excluding skin cancer) among adults >= 18,8.4,0.461607143,23,14
114,Coronary heart disease among adults >= 18,5.2,0.377678571,23,14
115,Stroke among adults >= 18,4,0.377678571,23,14
116,Diabetes among adults >= 18,12.7,0.629464286,23,14
117,Current asthma among adults >= 18,11,0.671428571,23,14
118,Mental health not good for >= 14 days among adults >= 18,16.8,0.839285714,23,14
119,COPD among adults >= 18,7,0.503571429,25,14
120,Cancer (excluding skin cancer) among adults >= 18,8.4,0.503571429,25,14
121,Coronary heart disease among adults >= 18,4.4,0.377678571,25,14
122,Stroke among adults >= 18,3.3,0.377678571,25,14
123,Diabetes among adults >= 18,11.4,0.629464286,25,14
124,Current asthma among adults >= 18,10.7,0.671428571,25,14
125,Mental health not good for >= 14 days among adults >= 18,15.9,0.839285714,25,14
126,COPD among adults >= 18,11.7,1.091071429,26,14
127,Cancer (excluding skin cancer) among adults >= 18,8,0.88125,26,14
128,Coronary heart disease among adults >= 18,6.6,0.923214286,26,14
129,Stroke among adults >= 18,4.6,0.629464286,26,14
130,Diabetes among adults >= 18,14.8,1.216964286,26,14
131,Current asthma among adults >= 18,10.8,1.133035714,26,14
132,Mental health not good for >= 14 days among adults >= 18,16.1,1.342857143,26,14
133,COPD among adults >= 18,9.3,0.797321429,27,14
134,Cancer (excluding skin cancer) among adults >= 18,7.5,0.629464286,27,14
135,Coronary heart disease among adults >= 18,5,0.545535714,27,14
136,Stroke among adults >= 18,4.9,0.5875,27,14
137,Diabetes among adults >= 18,14.7,0.923214286,27,14
138,Current asthma among adults >= 18,10,0.88125,27,14
139,Mental health not good for >= 14 days among adults >= 18,20.1,1.216964286,27,14
140,COPD among adults >= 18,5.8,0.545535714,1,14
141,Cancer (excluding skin cancer) among adults >= 18,8.3,0.545535714,1,14
142,Coronary heart disease among adults >= 18,4.6,0.461607143,1,14
143,Stroke among adults >= 18,2.7,0.377678571,1,14
144,Diabetes among adults >= 18,10.5,0.713392857,1,14
145,Current asthma among adults >= 18,11.3,0.713392857,1,14
146,Mental health not good for >= 14 days among adults >= 18,14.6,0.797321429,1,14
147,COPD among adults >= 18,5.1,0.419642857,29,14
148,Cancer (excluding skin cancer) among adults >= 18,7.3,0.461607143,29,14
149,Coronary heart disease among adults >= 18,4,0.377678571,29,14
150,Stroke among adults >= 18,3.3,0.335714286,29,14
151,Diabetes among adults >= 18,12,0.629464286,29,14
152,Current asthma among adults >= 18,10.4,0.629464286,29,14
153,Mental health not good for >= 14 days among adults >= 18,14.5,0.755357143,29,14
154,COPD among adults >= 18,8.8,0.629464286,28,14
155,Cancer (excluding skin cancer) among adults >= 18,10.2,0.5875,28,14
156,Coronary heart disease among adults >= 18,5.7,0.503571429,28,14
157,Stroke among adults >= 18,3.6,0.377678571,28,14
158,Diabetes among adults >= 18,11.1,0.755357143,28,14
159,Current asthma among adults >= 18,13.1,0.839285714,28,14
160,Mental health not good for >= 14 days among adults >= 18,16.3,0.965178571,28,14
161,COPD among adults >= 18,8.9,0.5875,30,14
162,Cancer (excluding skin cancer) among adults >= 18,8.6,0.503571429,30,14
163,Coronary heart disease among adults >= 18,4.6,0.419642857,30,14
164,Stroke among adults >= 18,3.4,0.335714286,30,14
165,Diabetes among adults >= 18,11.6,0.629464286,30,14
166,Current asthma among adults >= 18,11.9,0.713392857,30,14
167,Mental health not good for >= 14 days among adults >= 18,16.7,0.88125,30,14
168,COPD among adults >= 18,5.3,0.419642857,31,14
169,Cancer (excluding skin cancer) among adults >= 18,8.3,0.419642857,31,14
170,Coronary heart disease among adults >= 18,4.3,0.335714286,31,14
171,Stroke among adults >= 18,3.2,0.335714286,31,14
172,Diabetes among adults >= 18,10.2,0.503571429,31,14
173,Current asthma among adults >= 18,9.9,0.545535714,31,14
174,Mental health not good for >= 14 days among adults >= 18,14.8,0.671428571,31,14
175,COPD among adults >= 18,8.4,0.713392857,33,14
176,Cancer (excluding skin cancer) among adults >= 18,8.3,0.671428571,33,14
177,Coronary heart disease among adults >= 18,4.8,0.503571429,33,14
178,Stroke among adults >= 18,4.2,0.503571429,33,14
179,Diabetes among adults >= 18,11.7,0.797321429,33,14
180,Current asthma among adults >= 18,10.4,0.797321429,33,14
181,Mental health not good for >= 14 days among adults >= 18,17.3,1.049107143,33,14
182,COPD among adults >= 18,10.5,1.091071429,32,14
183,Cancer (excluding skin cancer) among adults >= 18,7.8,0.88125,32,14
184,Coronary heart disease among adults >= 18,6.8,0.839285714,32,14
185,Stroke among adults >= 18,4.5,0.671428571,32,14
186,Diabetes among adults >= 18,15.3,1.216964286,32,14
187,Current asthma among adults >= 18,9.4,1.049107143,32,14
188,Mental health not good for >= 14 days among adults >= 18,15.7,1.216964286,32,14
189,COPD among adults >= 18,6.7,0.5875,34,14
190,Cancer (excluding skin cancer) among adults >= 18,9.2,0.629464286,34,14
191,Coronary heart disease among adults >= 18,4.1,0.419642857,34,14
192,Stroke among adults >= 18,3.4,0.461607143,34,14
193,Diabetes among adults >= 18,8.4,0.629464286,34,14
194,Current asthma among adults >= 18,11.7,0.839285714,34,14
195,Mental health not good for >= 14 days among adults >= 18,16.4,1.007142857,34,14
196,COPD among adults >= 18,7.6,0.965178571,4,14
197,Cancer (excluding skin cancer) among adults >= 18,8.1,0.923214286,4,14
198,Coronary heart disease among adults >= 18,5,0.797321429,4,14
199,Stroke among adults >= 18,4.9,0.88125,4,14
200,Diabetes among adults >= 18,12.1,1.049107143,4,14
201,Current asthma among adults >= 18,9.2,1.007142857,4,14
202,Mental health not good for >= 14 days among adults >= 18,15.3,1.384821429,4,14
203,COPD among adults >= 18,5.7,0.629464286,41,14
204,Cancer (excluding skin cancer) among adults >= 18,8.4,0.755357143,41,14
205,Coronary heart disease among adults >= 18,4.2,0.545535714,41,14
206,Stroke among adults >= 18,2.9,0.461607143,41,14
207,Diabetes among adults >= 18,9.6,0.797321429,41,14
208,Current asthma among adults >= 18,10.4,1.007142857,41,14
209,Mental health not good for >= 14 days among adults >= 18,14.1,1.175,41,14
