id,metric,value,moe,state_id,dataset_id
97,Mental health not good for >= 14 days among adults >= 18,13.5,0.839285714285714,24,45
98,COPD among adults >= 18,6,0.5875,22,45
99,Cancer (excluding skin cancer) among adults >= 18,8.4,0.629464285714285,22,45
100,Coronary heart disease among adults >= 18,4.2,0.503571428571429,22,45
101,Stroke among adults >= 18,3.3,0.461607142857143,22,45
102,Diabetes among adults >= 18,9.9,0.713392857142857,22,45
103,Current asthma among adults >= 18,11.1,0.839285714285714,22,45
104,Mental health not good for >= 14 days among adults >= 18,15.1,0.923214285714285,22,45
105,COPD among adults >= 18,5.8,0.797321428571429,6,45
106,Cancer (excluding skin cancer) among adults >= 18,7.8,0.923214285714286,6,45
107,Coronary heart disease among adults >= 18,4.1,0.629464285714286,6,45
108,Stroke among adults >= 18,3.4,0.629464285714286,6,45
109,Diabetes among adults >= 18,12,1.00714285714286,6,45
110,Current asthma among adults >= 18,8.7,0.923214285714286,6,45
111,Mental health not good for >= 14 days among adults >= 18,13.6,1.13303571428571,6,45
112,COPD among adults >= 18,8.9,0.545535714285715,23,45
113,Cancer (excluding skin cancer) among adults >= 18,8.4,0.461607142857143,23,45
114,Coronary heart disease among adults >= 18,5.2,0.377678571428572,23,45
115,Stroke among adults >= 18,4,0.377678571428571,23,45
116,Diabetes among adults >= 18,12.7,0.629464285714286,23,45
117,Current asthma among adults >= 18,11,0.671428571428572,23,45
118,Mental health not good for >= 14 days among adults >= 18,16.8,0.839285714285714,23,45
119,COPD among adults >= 18,7,0.503571428571428,25,45
120,Cancer (excluding skin cancer) among adults >= 18,8.4,0.503571428571429,25,45
121,Coronary heart disease among adults >= 18,4.4,0.377678571428571,25,45
122,Stroke among adults >= 18,3.3,0.377678571428571,25,45
123,Diabetes among adults >= 18,11.4,0.629464285714286,25,45
124,Current asthma among adults >= 18,10.7,0.671428571428571,25,45
125,Mental health not good for >= 14 days among adults >= 18,15.9,0.839285714285714,25,45
126,COPD among adults >= 18,11.7,1.09107142857143,26,45
127,Cancer (excluding skin cancer) among adults >= 18,8,0.88125,26,45
128,Coronary heart disease among adults >= 18,6.6,0.923214285714286,26,45
129,Stroke among adults >= 18,4.6,0.629464285714286,26,45
130,Diabetes among adults >= 18,14.8,1.21696428571429,26,45
131,Current asthma among adults >= 18,10.8,1.13303571428571,26,45
132,Mental health not good for >= 14 days among adults >= 18,16.1,1.34285714285714,26,45
133,COPD among adults >= 18,9.3,0.797321428571428,27,45
134,Cancer (excluding skin cancer) among adults >= 18,7.5,0.629464285714285,27,45
135,Coronary heart disease among adults >= 18,5,0.545535714285714,27,45
136,Stroke among adults >= 18,4.9,0.5875,27,45
137,Diabetes among adults >= 18,14.7,0.923214285714286,27,45
138,Current asthma among adults >= 18,10,0.88125,27,45
